,اسم المشروع,نوع المنافسة,حالة المشروع,الرقم المرجعي ,اسم المورد,تاريخ أمر الشراء,تاريخ توقيع العقد,مدة العقد
199,مشروع تجديد الدعم الفني والرخص مع الشركات الأم لأنظمة تقنية المعلومات المجموعة الأولى,منافسة عامة,تحت التنفيذ,220740624500,شركه العلم لأمن المعلومات - شركه اجاده للنظم المحدودة - شركه المثلث التقني الكامل - شركه برايس وتر هاوس كوبرز للاستشارات - شركة طاقم الأعمال التوسعية التجارية,2022-11-24,2023-01-05,24
200,خدمات إعلامية,منافسة عامة,تحت التنفيذ,220839651362,شركة خمسة ثلاثين للإنتاج الاعلامي,2022-10-17,2022-11-01,6
201,تأمين نظم المراقبة والتحكم بمنفذ سلوى,منافسة عامة,تحت التنفيذ,220939656461,شركة المقاولون المبتكرون للمعايير المتطورة,2022-12-05,2023-02-08,36
202,مشروع تأمين أجهزة امنية متنوعة بمنفذ الرقعي,منافسة عامة,تحت التنفيذ,220939655325,شركة المقاولون المبتكرون للمعايير المتطورة,2022-12-25,2023-02-12,36
203,عقد مناولة جمرك منفذ الخفجي,منافسة عامة,تحت التنفيذ,220939658600,مؤسسة منشأ البناء للمقاولات,2022-10-26,2023-01-05,12
204,توريد وتركيب الأثاث المكتبي,منافسة عامة,تحت التنفيذ,220939661735,مؤسسة مجال للمقاولات العامة,2022-10-10,2022-11-06,2
205,تأمين وتشغيل أنظمة البوابات و المرافق الذكية لمنفذ البطحاء,منافسة عامة,تحت التنفيذ,220639603321,الشركة العربية لخدمات الانترنت والاتصالات,2023-02-14,2023-04-10,36
206,مشروع أعمال محطة معالجة الصرف الصحي ومحطة معالجة وتنقية المياه بمنفذ جديدة عرعر – المنطقة السكنية,منافسة عامة,تحت التنفيذ,220839628954,مؤسسة وشنه للمقاولات,2022-12-21,2023-02-08,30
207,مشروع تطوير وتحسين محطة معالجة الصرف الصحي وشبكات الري بمنفذ حالة عمار,منافسة عامة,تحت التنفيذ,220839628931,شركة فهد ماضي المجول للمقاولات,2023-02-02,2023-03-26,29
208,توفير نظام لأتمته تفعيل مركز التعافي من الكوارث,منافسة عامة,تحت التنفيذ,220939660109,شركة نيتسينك نيتورك سلوشن,2022-10-27,2023-01-05,5
209,نظافة وصيانة وتشغيل عدد من المنافذ البرية,منافسة عامة,تحت التنفيذ,220439549184,مؤسسة حامد سعود العتيبي للمقاولات,2023-02-26,2023-03-28,36
210,مشروع تطوير البيئة الافتراضية لدعم التطبيقات,منافسة عامة,تحت التنفيذ,220939765512,شركة المعمر لانظمة المعلومات,2022-11-06,2022-12-14,12
211,تعديل واجهات كبائن التفتيش بمنفذ سلوى,منافسة عامة,تحت التنفيذ,220939766916,مؤسسة عبدالله محمد البراك للمقاولات,2022-10-10,2022-10-27,2
212,حمالة المستودعات الجمركية في ميناء جدة الإسلامي و ميناء الملك عبدالعزيز و الميناء الجاف,منافسة عامة,تحت التنفيذ,220939770594,مؤسسة ثروات المجد للمقاولات العامة,2022-11-17,2023-01-05,36
213,توريد وتركيب وتشغيل مواد كهربائية وأجهزة الطاقة غير المنقطعة لتشغيل الأجهزة الخاصة بغرف السيرفرات بمواقع الهيئة,منافسة عامة,تحت التنفيذ,220939654659,شركة سايت تكنولوجي العربية السعودية,2022-11-17,2023-01-26,12
214,تامين وتوريد المستلزمات والمساعدات التدريبية المخصصة للمناطق منخفضة الحرارة 2022م,منافسة عامة,تحت التنفيذ,220939771228,مؤسسة قلعة الحيوان التجارية,2022-10-27,2022-12-14,3
215,عقد مناولة جمرك منفذ الخضراء,منافسة عامة,تحت التنفيذ,220939771995,مؤسسة الرويس للمقاولات,2022-11-06,2022-12-14,12
217,عزل الأسطح لمباني المعاينين في ميناء جدة الإسلامي,منافسة عامة,تحت التنفيذ,220939777080,الشركة العربية للحماية والتدعيم,2022-10-17,2022-11-09,2
218,مشروع تجديد الدعم الفني للأنظمة الشبكات مع الشركات الام لهيئة الزكاة والضريبة والجمارك,منافسة عامة,تحت التنفيذ,220939780076,شركه داتا كونسولت السعودية,2022-12-08,2023-01-05,1
219,تنفيذ هندسة الامن السيبراني,منافسة عامة,تحت التنفيذ,220939777193,شركة أسس الحماية الرقمية لتقنية المعلومات,2022-12-07,2023-01-25,1
220,مشروع تأمين دائرة اتصال انترنت احتياطية DIA بالمبنى الرئيسي بالمربع والمبنى الاحتياطي بمركز الملك عبد الله المالي,منافسة عامة,تحت التنفيذ,220939782750,شركه الاتصالات السعودية,2022-11-14,2023-01-26,12
221,توريد وتامين أكل وسائل حية للمركز الوطني للوسائل الحية بهيئة الزكاة والضريبة والجمارك,منافسة عامة,تحت التنفيذ,220939777233,شركة لقاء الدولية,2022-10-30,2022-12-14,12
222,توريد وتركيب نظام مراقبة لغرف التحكم و البيانات بالمنافذ الجمركية,منافسة عامة,تحت التنفيذ,220939769512,شركه التقنيه والخدمات المتطوره,2023-01-05,2023-02-02,8
224,تشغيل مركز التواصل لهيئة الزكاة والضريبة والجمارك,منافسة عامة,تحت التنفيذ,220939765197,شركه الخليج للتدريب والتعليم,2022-12-11,2023-01-05,12
225,تجديد الاشتراك في منصة سبراوت سوشيال,منافسة عامة,تحت التنفيذ,221039786499,مؤسسة تلال العصرية  للتجارة,2022-10-30,2022-12-05,12
226,إطلاق حملات ترويجية عن مبادرات وإنجازات الهيئة,منافسة عامة,تحت التنفيذ,220939775710,مؤسسة زان المصمم للتجارة,2022-11-14,2022-12-15,4
227,مشروع تشغيل خدمات الامن السيبراني,منافسة عامة,تحت التنفيذ,221039790308,شركه الحلول المتميزة,2022-11-25,2022-12-29,36
228,توضيب و صيانة عدد (8) ثمانية شاحن توربيني للمولدات الرئيسي بمحطة توليد منفذ الرقعي,منافسة عامة,تحت التنفيذ,220939781513,شركه المركز الآلي السعودي لقطع الغيار المحدودة,2023-01-05,2023-02-13,2
229,كراسة توفير البنية التحتية لنظام تحليل الصور ومراقبة الكاميرات في المنافذ الجمركية,منافسة عامة,تحت التنفيذ,221039795695,شركة التقنية الآمنة للأنظمة الأمنية,2023-03-12,2023-05-01,3
230,مشروع تصميم وتحسين مستودع البيانات,منافسة عامة,تحت التنفيذ,221039800212,شركة الاعمال البارعة لتقنية المعلومات,2023-01-30,2023-02-28,12
231,عقد إستئجار مولد طاقة كهربائية الأحتياطية لمبنى اللجان الجمركية بالمغرزات,منافسة عامة,تحت التنفيذ,221039800347,شركة عبدلله عبدالكريم العثيم المتحدة,2023-01-17,2023-04-13,24
232,مشروع أعمال أنظمة إنذار ومكافحة الحريق بمنفذ جديدة عرعر,منافسة عامة,تحت التنفيذ,220839639956,شركة الماء الأحمر لهندسة المشاريع,2023-03-22,2023-03-30,18
233,نظافة وصيانة وتشغيل مباني إدارة جمرك موانئ ( الملك عبدالعزيز – الجبيل – رأس تنورة – ينبع ),منافسة عامة,تحت التنفيذ,221039802592,مؤسسة حامد سعود العتيبي للمقاولات,2023-02-06,2023-03-26,36
234,تأمين أنظمة البوابات الأمنية للمنافذ البرية الشمالية ( الدرة – حالة عمار – الحديثة – جديدة عرعر),منافسة عامة,تحت التنفيذ,221039804570,شركة مجموعة الجرس السعودي,2023-02-09,2023-03-16,24
235,تأمين أنظمة البوابات الأمنية للمنافذ البرية الشرقية ( الخفجي – الوديعة – الميناء الجاف),منافسة عامة,تحت التنفيذ,221039804559,الشركة المتحدة للاعمال التقنية,2023-02-09,2023-03-16,24
236,مشروع محطة وقود دائمة عند منفذ الربع الخالي,منافسة عامة,تحت التنفيذ,221139841633,شركة برو فاست المحدودة,2023-02-09,2023-03-16,14
237,تأمين أجهزة يدوية لفحص البضائع والمركبات بالأشعة السينية,منافسة عامة,تحت التنفيذ,221139842535,شركة اي جي اند جي الشرق الاوسط,2023-02-28,2023-05-01,36
238,توريد أجهزة كشف المخدرات والمتفجرات والمواد الخطرة,منافسة عامة,تحت التنفيذ,221139831900,الامنيون العرب للتجهيزات العسكرية والامنية,2023-02-21,2023-03-28,33
239,مشروع تأمين وتركيب كاميرات مراقبة امنية صوت وصورة بالمطارات والمنافذ البرية,منافسة عامة,تحت التنفيذ,221039811625,شركة تحريز الامنية,2023-01-25,2023-02-13,24
240,تأمين أجهزة عد وتحريز الممنوعات والمهربات,منافسة عامة,تحت التنفيذ,221139821522,شركة تحريز الامنية,2023-02-21,2023-04-06,36
241,تأهيل وتعديل وتركيب مظلة الركاب وواجهات الكبائن وتكسيه الاعمدة في منفذ الحديثة,منافسة عامة,تحت التنفيذ,220939779236,شركة الصخور العربية للصناعة,2022-12-05,2022-12-27,4
242,تأهيل وتطوير مباني الركاب في منفذ الدرة ومنفذ حالة عمار,منافسة عامة,تحت التنفيذ,221039801155,شركة الصخور العربية للصناعة,2023-01-24,2023-02-28,210
243,تأمين سيارات وكرافانات وخيام لعوامل زكاة بهيمة الانعام لعام 1444هـ,منافسة عامة,تحت التنفيذ,221039798409,مؤسسة ثروات المجد للمقاولات العامة,2022-12-08,2022-12-27,2
244,مشروع تأمين أجهزة مساندة بالتفتيش وسرعة الفحص,منافسة عامة,تحت التنفيذ,221039806526,الشركة المتحدة للاعمال التقنية,2023-01-30,2023-02-28,36
245,مشروع تأمين وتشغيل نظام تحليل أنظمة المراقبة الأمنية بالمنافذ البرية الشرقية,منافسة عامة,تحت التنفيذ,221039808686,الشركة العربية لخدمات الانترنت والاتصالات,2023-03-22,2023-05-11,36
246,تجديد الدعم الفني ورخص للتطبيقات مع الشركات الام المرحلة الثانية,منافسة عامة,تحت التنفيذ,221039809239,فرع الشركة السعودية للحاسبات الإلكترونية المحدودة - شركة الاعمال البارعة لتقنية المعلومات - شركه اجاده للنظم المحدودة - شركة مستقبل العالم لتقنية المعلومات - شركه تحكم التقنية المحدودة - الشركة العربية لخدمات الانترنت والاتصالات - شركة المتقدمة التقنية والأمن السيبراني المحدودة,2023-02-27,2023-03-28,24
247,تأمين و تشغيل نظام تحليل انظمة المراقبة الامنية بالمنافذ البرية الشمالية و الجنوبية,منافسة عامة,تحت التنفيذ,221139815294,الشركة العربية لخدمات الانترنت والاتصالات,2023-03-22,2023-05-04,36
250,أنشطة وفعاليات هيئة الزكاة والضريبة والجمارك,منافسة عامة,تحت التنفيذ,221139815106,مؤسسه رؤى المعارض لإقامه وتنظيم المعارض,2022-12-20,2023-01-11,4
251,توريد و تركيب أعمال حديدية (أسوار-بوابات - مظلات ) بمنفذ البطحاء,منافسة عامة,تحت التنفيذ,221139815153,شركة مجال البناء للمقاولات,2022-12-27,2023-02-02,6
252,توريد أجهزة حاسب الي وملحقاتها (المرحلة الثانية),منافسة عامة,تحت التنفيذ,221039811804,الشركة الوطنية لأنظمه الحاسب الالي,2022-12-05,2023-01-24,12
253,برنامج أتمتة أعمال نظام إدارة الجودة,منافسة عامة,تحت التنفيذ,221039813394,الفنار لتقنية المعلومات,2023-01-29,2023-02-28,3
255,عقد مناولة مستودعات المتروكات والمحجوزات للمطارات,منافسة عامة,تحت التنفيذ,221139832719,مؤسسة ثروات المجد للمقاولات العامة,2023-01-12,2023-02-28,36
256,تأهيل وترميم المبنى الإداري في منفذ الوديعة,منافسة عامة,تحت التنفيذ,221139828690,شركة الصخور العربية للصناعة,2022-12-20,2023-02-02,3
257,توريد وتركيب بوابات وأجهزة كشف المعادن,منافسة عامة,تحت التنفيذ,221139818697,شركة تحريز الامنية,2023-02-13,2023-04-06,36
258,مشروع الطاقة الكهربائية الاحتياطية بمنفذ سلوى,منافسة عامة,تحت التنفيذ,230139874121,شركة تأجير معدات الطاقة المحدودة,2023-04-03,2023-05-04,9
260,"توريد وتامين ""60"" وسيلة حية للمركز الوطني للوسائل الحية",منافسة عامة,تحت التنفيذ,221139825611,مؤسسة الحياة والحيوان للتجارة,2022-12-05,2023-01-10,6
261,مشروع تشغيل وصيانة أجهزة امنية مساندة 2023,منافسة عامة,تحت التنفيذ,230139866443,شركة اي جي اند جي الشرق الاوسط,2023-03-23,2023-05-01,14
262,توريد و تركيب مراوح رذاذ بالمنافذ البرية,منافسة عامة,تحت التنفيذ,230139863124,مؤسسة ابيس التجارية,2023-03-28,2023-05-01,8
263,تأهيل وترميم سور أمن الطرق والموقع العام في منفذ البطحاء,منافسة عامة,تحت التنفيذ,221139843156,شركة الاداء المتوازن للمقاولات,2023-01-05,2023-02-08,3
264,صناعة المحتوى التوعوي وإنتاج التصاميم الإبداعية,منافسة عامة,تحت التنفيذ,221239846193,مؤسسه رؤى المعارض لاقامه وتنظيم المعارض,2023-01-05,2023-01-26,4
265,تصميم وتنفيذ تحسينات على نظام ساب المرحلة الثالثة,منافسة عامة,تحت التنفيذ,221139839860,الشركة العربية لخدمات الانترنت والاتصالات,2023-01-12,2023-02-13,24
266,نقل وتهجير التطبيقات ومكونات البنية التحتية إلى المجال الجديد,منافسة عامة,تحت التنفيذ,221139842655,شركة أسس الحماية الرقمية لتقنية المعلومات,2023-02-09,2023-04-06,9
267,مشروع تطوير منصة البيانات المفتوحة,منافسة عامة,تحت التنفيذ,221139841367,شركة اجادة للنظم المحدودة,2023-01-30,2023-03-09,14
268,اتفاقية توريد وتركيب مواد للشبكات الكهربائية,منافسة عامة,تحت التنفيذ,230139864250,شركة سافانا الدولية للأنشاءات المحدودة,2023-04-06,2023-05-29,36
269,مشروع الطاقة الكهربائية الاحتياطية بمنفذ الوديعة,منافسة عامة,تحت التنفيذ,230139871715,نايف عبدالكريم الرخيص للمقاولات,2023-03-06,2023-03-28,9
273,تشغيل وصيانة أنظمة الفحص بالأشعة السينية بالمنطقة الشمالية 2023,منافسة عامة,تحت التنفيذ,221239845781,الشركة المتحدة للأعمال التقنية,2023-03-23,2023-05-04,24
274,تشغيل وصيانة أنظمة الفحص بالأشعة السينية بالمنطقة الشرقية 2023,منافسة عامة,تحت التنفيذ,221239845513,شركة اي جي اند جي الشرق الأوسط,2023-03-22,2023-04-13,24
275,تشغيل وصيانة أنظمة الفحص بالأشعة السينية بالمناطق الوسطى والغربية والجنوبية 2023,منافسة عامة,تحت التنفيذ,221239845114,شركة اي جي اند جي الشرق الأوسط,2023-03-22,2023-05-01,24
276,توفير اشتراكات المعهد الدولي للتحليلات,منافسة عامة,تحت التنفيذ,221239848167,مؤسسة الخطوط المتحدة التجارية,2023-01-29,2023-02-28,12
278,تحسينات على منصة الخدمات الإلكترونية,منافسة عامة,تحت التنفيذ,221139842191,شركة اجادة للنظم المحدودة,2023-03-27,2023-05-01,12
279,تأهيل وترميم الدور الأرضي والأول بجمرك ميناء الدمام,منافسة عامة,تحت التنفيذ,230139876853,مؤسسة مجال للمقاولات العامة,2023-02-21,2023-03-26,3
281,شحن رصيد خدمة الرسائل النصية والدعم الفني,منافسة عامة,تحت التنفيذ,230139859734,شركة أبحاث وتطوير الأعمال التجاري,2023-03-01,2023-03-28,12
282,تقديم خدمات لعوامل جباية زكاة الانعام لعام 1444 هـ,منافسة عامة,تحت التنفيذ,221239859422,مؤسسة ثروات المجد للمقاولات العامة,2023-01-19,2023-02-13,2
283,تقديم خدمات النقل الترددي من منفذ سلوى إلى محافظة الاحساء,منافسة عامة,تحت التنفيذ,221239859364,شركة النخلة الأهلية لخدمات النقل,2023-02-05,2023-03-09,12
284,مشروع تنفيذ بعض عمليات المراجعة للإدارة العامة للمراجعة المالية والإدارية,منافسة عامة,تحت التنفيذ,221239851827,شركه برايس وتر هاوس كوبرز للاستشارات المحدودة,2023-02-15,2023-03-26,12
285,توريد محروقات بالشرائح الالكترونية والبطاقات لمركبات هيئة الزكاة الضريبة الجمارك,منافسة عامة,تحت التنفيذ,230139865996,شركة الدريس للخدمات البترولية والنقليات الدريس,2023-02-09,2023-03-09,24
287,مشروع تنفيذ وتطوير التشغيل الروبوتي للعمليات,منافسة عامة,تحت التنفيذ,230139879963,شركة جيزة العربية للأنظمة,2023-04-10,2023-06-06,12
288,فعاليات وأنشطة للأمانة العامة للجان الزكوية والضريبية والجمركية,منافسة عامة,تحت التنفيذ,230139880960,شركة هوية العربية التجارية,2023-02-28,2023-05-01,12
291,مشروع توفير رخص تعلم الكترونية للغة الانجليزية,منافسة عامة,تحت التنفيذ,230139877438,شركة اي اف اديوكيشن فيرست المحدودة,2023-03-12,2023-05-04,12
293,توريد وتركيب وتشغيل اجهزة معطرات الجو,منافسة عامة,تحت التنفيذ,230239885746,شركة حياة عطرية المحدودة,2023-03-12,2023-05-01,1
294,التأمين على بعض سيارات هيئة الزكاة والضريبة والجمارك,منافسة عامة,تحت التنفيذ,230239886242,شركة الراجحي للتامين التعاوني تكافل الراجحي,2023-03-12,2023-04-06,12
295,تطوير بيئة ضمان الجودة لمحرك المخاطر,منافسة عامة,تحت التنفيذ,230239891313,الشركة العربية لخدمات الانترنت والاتصالات,2023-03-13,2023-05-01,3
296,توريد وتأمين وتجهيز مركبات لنقل الوسائل الحية,منافسة عامة,تحت التنفيذ,230239890054,مصنع الجابرين للصناعات الحديدية والالمنيوم,2023-04-10,2023-05-11,4
299,توريد شرائح بيانات واجهزة راوتر,منافسة عامة,تحت التنفيذ,230239898645,شركه الاتصالات السعودية,2023-03-19,2023-05-04,12
300,توريد أجهزة شبكات للمنافذ الجمركية,منافسة عامة,تحت التنفيذ,230239900330,شركة أسس الحماية الرقمية لتقنية المعلومات,2023-03-30,2023-05-01,2
301,أنشطة وفعاليات داخلية,منافسة عامة,تحت التنفيذ,230239899809,وكالة وقت العرض للدعاية والاعلان,2023-04-12,2023-05-11,12
306,توريد وتركيب طابعة وبطاقات ذكية للموظفين وملصقات للمركبات مع تقديم الدعم الفني,منافسة عامة,تحت التنفيذ,230239903128,شركة المعالم الدولية للتقنية المحدودة,2023-03-22,2023-05-01,12
307,تشغيل صالة الحجاج بالوديعة والربع الخالي,منافسة عامة,تحت التنفيذ,230239902295,شركة أرض التجهيزات للمقاولات,2023-03-22,2023-04-13,6
308,"مشروع تجديد التراخيص والدعم للأنظمة والبرامج (Veritas,Adobe,LogmeIn)",منافسة عامة,تحت التنفيذ,230239904745,فرع شركه دايمنشن داتا بي تي واي ليمتد - شركة درع السحابة للاتصالات,2023-04-03,2023-05-12,1
310,توريد وتركيب مضخات التكييف وملحقاتها,منافسة عامة,تحت التنفيذ,230339905639,الشركة العربية للحماية والتدعيم,2023-04-03,2023-04-13,2
311,تأمين الحراسات الأمنية للمدن السكنية والإدارية بالمنافذ في عدة مواقع انحاء المملكة العربية السعودية,منافسة عامة,تحت التنفيذ,230239898511,الشركة العربية لخدمات الامن والسلامة امنكو,2023-05-07,2023-06-06,12
312,توضيب شواحن لمحطة توليد الرقعي,منافسة عامة,تحت التنفيذ,230339906299,شركه المركز الآلي السعودي لقطع الغيار المحدودة,2023-04-10,2023-05-29,6
314,مشروع تحسين إدارة بيانات الموظفين,منافسة عامة,تحت التنفيذ,230339910350,شركة اكسنتشر السعودية المحدودة,2023-04-13,2023-06-06,6
